filename,width,height,class,xmin,ymin,xmax,ymax
1468838449_a6c155c233_z_jpg.rf.00df5b3576d23c9c13363300dfdd7d36.jpg,416,416,orange,189,106,236,166
1468838449_a6c155c233_z_jpg.rf.00df5b3576d23c9c13363300dfdd7d36.jpg,416,416,apple,119,101,177,175
1468838449_a6c155c233_z_jpg.rf.00df5b3576d23c9c13363300dfdd7d36.jpg,416,416,apple,273,92,348,193
1468838449_a6c155c233_z_jpg.rf.00df5b3576d23c9c13363300dfdd7d36.jpg,416,416,orange,231,133,272,185
1468838449_a6c155c233_z_jpg.rf.00df5b3576d23c9c13363300dfdd7d36.jpg,416,416,apple,240,186,305,276
1468838449_a6c155c233_z_jpg.rf.00df5b3576d23c9c13363300dfdd7d36.jpg,416,416,banana,80,166,247,302
1468838449_a6c155c233_z_jpg.rf.00df5b3576d23c9c13363300dfdd7d36.jpg,416,416,banana,228,237,332,331
3347567515_05aedf8194_z_jpg.rf.0148815310bcf6cfde50fe7ce2d9b62c.jpg,416,416,orange,271,113,318,159
3347567515_05aedf8194_z_jpg.rf.0148815310bcf6cfde50fe7ce2d9b62c.jpg,416,416,pear,120,120,174,174
3347567515_05aedf8194_z_jpg.rf.0148815310bcf6cfde50fe7ce2d9b62c.jpg,416,416,apple,234,130,297,181
3347567515_05aedf8194_z_jpg.rf.0148815310bcf6cfde50fe7ce2d9b62c.jpg,416,416,banana,145,168,344,243
images--6-_jpeg.rf.02fb60c0b2ca639c0f8b82ada6852757.jpg,416,416,orange,239,180,318,281
images--6-_jpeg.rf.02fb60c0b2ca639c0f8b82ada6852757.jpg,416,416,orange,21,187,114,309
images--6-_jpeg.rf.02fb60c0b2ca639c0f8b82ada6852757.jpg,416,416,orange,321,198,395,305
images--6-_jpeg.rf.02fb60c0b2ca639c0f8b82ada6852757.jpg,416,416,orange,114,217,199,335
images--6-_jpeg.rf.02fb60c0b2ca639c0f8b82ada6852757.jpg,416,416,orange,84,26,199,163
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,83,237,112,281
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,177,245,219,284
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,218,250,254,292
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,58,267,88,308
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,266,266,300,315
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,114,277,147,310
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,162,270,208,320
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,204,271,246,320
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,24,287,65,331
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,89,284,121,343
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,248,288,292,356
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,50,316,88,350
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,192,303,242,375
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,144,304,193,378
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,263,339,311,412
120641cbc1a120f7_jpg.rf.0364eb3f28e8c10513974d2d108bd766.jpg,416,416,orange,159,357,216,415
185_100_jpg.rf.02dd68603b37d1bd1bc7ee314acab22f.jpg,416,416,apple,4,25,412,399
019138800_1427286494-buah-pir_jpg.rf.017658f0a980692d7bb8c032e28cf788.jpg,416,416,pear,25,35,255,223
019138800_1427286494-buah-pir_jpg.rf.017658f0a980692d7bb8c032e28cf788.jpg,416,416,pear,151,113,343,321
133_100_jpg.rf.00a7b0d321478ac2498ce866b4381327.jpg,416,416,orange,8,9,408,404
f34aa81dac316e5c_jpg.rf.0237d2919ff36341396ae991f42e9df0.jpg,416,416,pear,0,0,196,377
f34aa81dac316e5c_jpg.rf.0237d2919ff36341396ae991f42e9df0.jpg,416,416,apple,122,41,315,343
f34aa81dac316e5c_jpg.rf.0237d2919ff36341396ae991f42e9df0.jpg,416,416,apple,0,68,59,402
3311113056_a52c7d6171_z_jpg.rf.01555e8d0ebc8f7253bf065bf6c6c3d4.jpg,416,416,banana,22,101,46,143
3311113056_a52c7d6171_z_jpg.rf.01555e8d0ebc8f7253bf065bf6c6c3d4.jpg,416,416,banana,0,104,13,140
3311113056_a52c7d6171_z_jpg.rf.01555e8d0ebc8f7253bf065bf6c6c3d4.jpg,416,416,banana,8,174,31,215
3311113056_a52c7d6171_z_jpg.rf.01555e8d0ebc8f7253bf065bf6c6c3d4.jpg,416,416,banana,10,221,32,265
3311113056_a52c7d6171_z_jpg.rf.01555e8d0ebc8f7253bf065bf6c6c3d4.jpg,416,416,banana,24,250,45,295
3311113056_a52c7d6171_z_jpg.rf.01555e8d0ebc8f7253bf065bf6c6c3d4.jpg,416,416,orange,76,274,89,286
3311113056_a52c7d6171_z_jpg.rf.01555e8d0ebc8f7253bf065bf6c6c3d4.jpg,416,416,orange,95,282,110,300
